,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
164,165,0,3,1,1.0,4,1,39.6875,-1,2
165,166,1,3,1,9.0,0,2,20.525,-1,2
166,167,1,1,0,29.69911764705882,0,1,55.0,123,2
167,168,0,3,0,45.0,1,4,27.9,-1,2
168,169,0,1,1,29.69911764705882,0,0,25.925,-1,2
169,170,0,3,1,28.0,0,0,56.4958,-1,2
170,171,0,1,1,61.0,0,0,33.5,18,2
171,172,0,3,1,4.0,4,1,29.125,-1,1
172,173,1,3,0,1.0,1,1,11.1333,-1,2
173,174,0,3,1,21.0,0,0,7.925,-1,2
174,175,0,1,1,56.0,0,0,30.6958,14,0
175,176,0,3,1,18.0,1,1,7.8542,-1,2
176,177,0,3,1,29.69911764705882,3,1,25.4667,-1,2
177,178,0,1,0,50.0,0,0,28.7125,69,0
178,179,0,2,1,30.0,0,0,13.0,-1,2
179,180,0,3,1,36.0,0,0,0.0,-1,2
180,181,0,3,0,29.69911764705882,8,2,69.55,-1,2
181,182,0,2,1,29.69911764705882,0,0,15.05,-1,0
182,183,0,3,1,9.0,4,2,31.3875,-1,2
183,184,1,2,1,1.0,2,1,39.0,144,2
184,185,1,3,0,4.0,0,2,22.025,-1,2
185,186,0,1,1,29.69911764705882,0,0,50.0,9,2
186,187,1,3,0,29.69911764705882,1,0,15.5,-1,1
187,188,1,1,1,45.0,0,0,26.55,-1,2
188,189,0,3,1,40.0,1,1,15.5,-1,1
189,190,0,3,1,36.0,0,0,7.8958,-1,2
190,191,1,2,0,32.0,0,0,13.0,-1,2
191,192,0,2,1,19.0,0,0,13.0,-1,2
192,193,1,3,0,19.0,1,0,7.8542,-1,2
193,194,1,2,1,3.0,1,1,26.0,141,2
194,195,1,1,0,44.0,0,0,27.7208,28,0
195,196,1,1,0,58.0,0,0,146.5208,43,0
196,197,0,3,1,29.69911764705882,0,0,7.75,-1,1
197,198,0,3,1,42.0,0,1,8.4042,-1,2
198,199,1,3,0,29.69911764705882,0,0,7.75,-1,1
199,200,0,2,0,24.0,0,0,13.0,-1,2
200,201,0,3,1,28.0,0,0,9.5,-1,2
201,202,0,3,1,29.69911764705882,8,2,69.55,-1,2
202,203,0,3,1,34.0,0,0,6.4958,-1,2
203,204,0,3,1,45.5,0,0,7.225,-1,0
204,205,1,3,1,18.0,0,0,8.05,-1,2
205,206,0,3,0,2.0,0,1,10.4625,145,2
206,207,0,3,1,32.0,1,0,15.85,-1,2
207,208,1,3,1,26.0,0,0,18.7875,-1,0
208,209,1,3,0,16.0,0,0,7.75,-1,1
209,210,1,1,1,40.0,0,0,31.0,8,0
210,211,0,3,1,24.0,0,0,7.05,-1,2
211,212,1,2,0,35.0,0,0,21.0,-1,2
212,213,0,3,1,22.0,0,0,7.25,-1,2
213,214,0,2,1,30.0,0,0,13.0,-1,2
214,215,0,3,1,29.69911764705882,1,0,7.75,-1,1
215,216,1,1,0,31.0,1,0,113.275,103,0
216,217,1,3,0,27.0,0,0,7.925,-1,2
217,218,0,2,1,42.0,1,0,27.0,-1,2
218,219,1,1,0,32.0,0,0,76.2917,93,0
219,220,0,2,1,30.0,0,0,10.5,-1,2
220,221,1,3,1,16.0,0,0,8.05,-1,2
221,222,0,2,1,27.0,0,0,13.0,-1,2
222,223,0,3,1,51.0,0,0,8.05,-1,2
223,224,0,3,1,29.69911764705882,0,0,7.8958,-1,2
224,225,1,1,1,38.0,1,0,90.0,87,2
225,226,0,3,1,22.0,0,0,9.35,-1,2
226,227,1,2,1,19.0,0,0,10.5,-1,2
227,228,0,3,1,20.5,0,0,7.25,-1,2
228,229,0,2,1,18.0,0,0,13.0,-1,2
229,230,0,3,0,29.69911764705882,3,1,25.4667,-1,2
230,231,1,1,0,35.0,1,0,83.475,80,2
231,232,0,3,1,29.0,0,0,7.775,-1,2
232,233,0,2,1,59.0,0,0,13.5,-1,2
233,234,1,3,0,5.0,4,2,31.3875,-1,2
234,235,0,2,1,24.0,0,0,10.5,-1,2
235,236,0,3,0,29.69911764705882,0,0,7.55,-1,2
236,237,0,2,1,44.0,1,0,26.0,-1,2
237,238,1,2,0,8.0,0,2,26.25,-1,2
238,239,0,2,1,19.0,0,0,10.5,-1,2
239,240,0,2,1,33.0,0,0,12.275,-1,2
240,241,0,3,0,29.69911764705882,1,0,14.4542,-1,0
241,242,1,3,0,29.69911764705882,1,0,15.5,-1,1
242,243,0,2,1,29.0,0,0,10.5,-1,2
243,244,0,3,1,22.0,0,0,7.125,-1,2
244,245,0,3,1,30.0,0,0,7.225,-1,0
245,246,0,1,1,44.0,2,0,90.0,78,1
246,247,0,3,0,25.0,0,0,7.775,-1,2
247,248,1,2,0,24.0,0,2,14.5,-1,2
248,249,1,1,1,37.0,1,1,52.5542,102,2
249,250,0,2,1,54.0,1,0,26.0,-1,2
250,251,0,3,1,29.69911764705882,0,0,7.25,-1,2
251,252,0,3,0,29.0,1,1,10.4625,145,2
252,253,0,1,1,62.0,0,0,26.55,83,2
253,254,0,3,1,30.0,1,0,16.1,-1,2
254,255,0,3,0,41.0,0,2,20.2125,-1,2
255,256,1,3,0,29.0,0,2,15.2458,-1,0
256,257,1,1,0,29.69911764705882,0,0,79.2,-1,0
257,258,1,1,0,30.0,0,0,86.5,40,2
258,259,1,1,0,35.0,0,0,512.3292,-1,0
259,260,1,2,0,50.0,0,1,26.0,-1,2
260,261,0,3,1,29.69911764705882,0,0,7.75,-1,1
261,262,1,3,1,3.0,4,2,31.3875,-1,2
262,263,0,1,1,52.0,1,1,79.65,134,2
263,264,0,1,1,40.0,0,0,0.0,46,2
264,265,0,3,0,29.69911764705882,0,0,7.75,-1,1
265,266,0,2,1,36.0,0,0,10.5,-1,2
266,267,0,3,1,16.0,4,1,39.6875,-1,2
267,268,1,3,1,25.0,1,0,7.775,-1,2
268,269,1,1,0,58.0,0,1,153.4625,57,2
269,270,1,1,0,35.0,0,0,135.6333,89,2
270,271,0,1,1,29.69911764705882,0,0,31.0,-1,2
271,272,1,3,1,25.0,0,0,0.0,-1,2
272,273,1,2,0,41.0,0,1,19.5,-1,2
273,274,0,1,1,37.0,0,1,29.7,54,0
274,275,1,3,0,29.69911764705882,0,0,7.75,-1,1
275,276,1,1,0,63.0,1,0,77.9583,113,2
276,277,0,3,0,45.0,0,0,7.75,-1,2
277,278,0,2,1,29.69911764705882,0,0,0.0,-1,2
278,279,0,3,1,7.0,4,1,29.125,-1,1
279,280,1,3,0,35.0,1,1,20.25,-1,2
280,281,0,3,1,65.0,0,0,7.75,-1,1
281,282,0,3,1,28.0,0,0,7.8542,-1,2
282,283,0,3,1,16.0,0,0,9.5,-1,2
283,284,1,3,1,19.0,0,0,8.05,-1,2
284,285,0,1,1,29.69911764705882,0,0,26.0,3,2
285,286,0,3,1,33.0,0,0,8.6625,-1,0
286,287,1,3,1,30.0,0,0,9.5,-1,2
287,288,0,3,1,22.0,0,0,7.8958,-1,2
288,289,1,2,1,42.0,0,0,13.0,-1,2
289,290,1,3,0,22.0,0,0,7.75,-1,1
290,291,1,1,0,26.0,0,0,78.85,-1,2
291,292,1,1,0,19.0,1,0,91.0792,31,0
292,293,0,2,1,36.0,0,0,12.875,90,0
293,294,0,3,0,24.0,0,0,8.85,-1,2
294,295,0,3,1,24.0,0,0,7.8958,-1,2
295,296,0,1,1,29.69911764705882,0,0,27.7208,-1,0
296,297,0,3,1,23.5,0,0,7.2292,-1,0
297,298,0,1,0,2.0,1,2,151.55,62,2
298,299,1,1,1,29.69911764705882,0,0,30.5,51,2
299,300,1,1,0,50.0,0,1,247.5208,36,0
300,301,1,3,0,29.69911764705882,0,0,7.75,-1,1
301,302,1,3,1,29.69911764705882,2,0,23.25,-1,1
302,303,0,3,1,19.0,0,0,0.0,-1,2
303,304,1,2,0,29.69911764705882,0,0,12.35,116,1
304,305,0,3,1,29.69911764705882,0,0,8.05,-1,2
305,306,1,1,1,0.92,1,2,151.55,62,2
306,307,1,1,0,29.69911764705882,0,0,110.8833,-1,0
307,308,1,1,0,17.0,1,0,108.9,74,0
308,309,0,2,1,30.0,1,0,24.0,-1,0
309,310,1,1,0,30.0,0,0,56.9292,125,0
310,311,1,1,0,24.0,0,0,83.1583,72,0
311,312,1,1,0,18.0,2,2,262.375,35,0
312,313,0,2,0,26.0,1,1,26.0,-1,2
313,314,0,3,1,28.0,0,0,7.8958,-1,2
314,315,0,2,1,43.0,1,1,26.25,-1,2
315,316,1,3,0,26.0,0,0,7.8542,-1,2
316,317,1,2,0,24.0,1,0,26.0,-1,2
317,318,0,2,1,54.0,0,0,14.0,-1,2
318,319,1,1,0,31.0,0,2,164.8667,76,2
319,320,1,1,0,40.0,1,1,134.5,124,0
320,321,0,3,1,22.0,0,0,7.25,-1,2
321,322,0,3,1,27.0,0,0,7.8958,-1,2
322,323,1,2,0,30.0,0,0,12.35,-1,1
323,324,1,2,0,22.0,1,1,29.0,-1,2
324,325,0,3,1,29.69911764705882,8,2,69.55,-1,2
325,326,1,1,0,36.0,0,0,135.6333,65,0
326,327,0,3,1,61.0,0,0,6.2375,-1,2
327,328,1,2,0,36.0,0,0,13.0,90,2
328,329,1,3,0,31.0,1,1,20.525,-1,2
329,330,1,1,0,16.0,0,1,57.9792,17,0
330,331,1,3,0,29.69911764705882,2,0,23.25,-1,1
331,332,0,1,1,45.5,0,0,28.5,56,2
332,333,0,1,1,38.0,0,1,153.4625,85,2
333,334,0,3,1,16.0,2,0,18.0,-1,2
334,335,1,1,0,29.69911764705882,1,0,133.65,-1,2
335,336,0,3,1,29.69911764705882,0,0,7.8958,-1,2
336,337,0,1,1,29.0,1,0,66.6,61,2
337,338,1,1,0,41.0,0,0,134.5,127,0
338,339,1,3,1,45.0,0,0,8.05,-1,2
339,340,0,1,1,45.0,0,0,35.5,146,2
340,341,1,2,1,2.0,1,1,26.0,141,2
341,342,1,1,0,24.0,3,2,263.0,63,2
342,343,0,2,1,28.0,0,0,13.0,-1,2
343,344,0,2,1,25.0,0,0,13.0,-1,2
344,345,0,2,1,36.0,0,0,13.0,-1,2
345,346,1,2,0,24.0,0,0,13.0,142,2
346,347,1,2,0,40.0,0,0,13.0,-1,2
347,348,1,3,0,29.69911764705882,1,0,16.1,-1,2
348,349,1,3,1,3.0,1,1,15.9,-1,2
349,350,0,3,1,42.0,0,0,8.6625,-1,2
350,351,0,3,1,23.0,0,0,9.225,-1,2
351,352,0,1,1,29.69911764705882,0,0,35.0,59,2
352,353,0,3,1,15.0,1,1,7.2292,-1,0
353,354,0,3,1,25.0,1,0,17.8,-1,2
354,355,0,3,1,29.69911764705882,0,0,7.225,-1,0
355,356,0,3,1,28.0,0,0,9.5,-1,2
356,357,1,1,0,22.0,0,1,55.0,123,2
357,358,0,2,0,38.0,0,0,13.0,-1,2
358,359,1,3,0,29.69911764705882,0,0,7.8792,-1,1
359,360,1,3,0,29.69911764705882,0,0,7.8792,-1,1
360,361,0,3,1,40.0,1,4,27.9,-1,2
361,362,0,2,1,29.0,1,0,27.7208,-1,0
362,363,0,3,0,45.0,0,1,14.4542,-1,0
363,364,0,3,1,35.0,0,0,7.05,-1,2
364,365,0,3,1,29.69911764705882,1,0,15.5,-1,1
365,366,0,3,1,30.0,0,0,7.25,-1,2
366,367,1,1,0,60.0,1,0,75.25,104,0
367,368,1,3,0,29.69911764705882,0,0,7.2292,-1,0
368,369,1,3,0,29.69911764705882,0,0,7.75,-1,1
369,370,1,1,0,24.0,0,0,69.3,24,0
370,371,1,1,1,25.0,1,0,55.4417,131,0
371,372,0,3,1,18.0,1,0,6.4958,-1,2
372,373,0,3,1,19.0,0,0,8.05,-1,2
373,374,0,1,1,22.0,0,0,135.6333,-1,0
374,375,0,3,0,3.0,3,1,21.075,-1,2
375,376,1,1,0,29.69911764705882,1,0,82.1708,-1,0
376,377,1,3,0,22.0,0,0,7.25,-1,2
377,378,0,1,1,27.0,0,2,211.5,79,0
378,379,0,3,1,20.0,0,0,4.0125,-1,0
379,380,0,3,1,19.0,0,0,7.775,-1,2
380,381,1,1,0,42.0,0,0,227.525,-1,0
381,382,1,3,0,1.0,0,2,15.7417,-1,0
382,383,0,3,1,32.0,0,0,7.925,-1,2
383,384,1,1,0,35.0,1,0,52.0,-1,2
384,385,0,3,1,29.69911764705882,0,0,7.8958,-1,2
385,386,0,2,1,18.0,0,0,73.5,-1,2
386,387,0,3,1,1.0,5,2,46.9,-1,2
387,388,1,2,0,36.0,0,0,13.0,-1,2
388,389,0,3,1,29.69911764705882,0,0,7.7292,-1,1
389,390,1,2,0,17.0,0,0,12.0,-1,0
390,391,1,1,1,36.0,1,2,120.0,47,2
391,392,1,3,1,21.0,0,0,7.7958,-1,2
392,393,0,3,1,28.0,2,0,7.925,-1,2
393,394,1,1,0,23.0,1,0,113.275,103,0
394,395,1,3,0,24.0,0,2,16.7,145,2
395,396,0,3,1,22.0,0,0,7.7958,-1,2
396,397,0,3,0,31.0,0,0,7.8542,-1,2
397,398,0,2,1,46.0,0,0,26.0,-1,2
398,399,0,2,1,23.0,0,0,10.5,-1,2
399,400,1,2,0,28.0,0,0,12.65,-1,2
400,401,1,3,1,39.0,0,0,7.925,-1,2
401,402,0,3,1,26.0,0,0,8.05,-1,2
402,403,0,3,0,21.0,1,0,9.825,-1,2
403,404,0,3,1,28.0,1,0,15.85,-1,2
404,405,0,3,0,20.0,0,0,8.6625,-1,2
405,406,0,2,1,34.0,1,0,21.0,-1,2
406,407,0,3,1,51.0,0,0,7.75,-1,2
407,408,1,2,1,3.0,1,1,18.75,-1,2
408,409,0,3,1,21.0,0,0,7.775,-1,2
409,410,0,3,0,29.69911764705882,3,1,25.4667,-1,2
410,411,0,3,1,29.69911764705882,0,0,7.8958,-1,2
411,412,0,3,1,29.69911764705882,0,0,6.8583,-1,1
412,413,1,1,0,33.0,1,0,90.0,78,1
413,414,0,2,1,29.69911764705882,0,0,0.0,-1,2
414,415,1,3,1,44.0,0,0,7.925,-1,2
415,416,0,3,0,29.69911764705882,0,0,8.05,-1,2
416,417,1,2,0,34.0,1,1,32.5,-1,2
417,418,1,2,0,18.0,0,2,13.0,-1,2
418,419,0,2,1,30.0,0,0,13.0,-1,2
419,420,0,3,0,10.0,0,2,24.15,-1,2
420,421,0,3,1,29.69911764705882,0,0,7.8958,-1,0
421,422,0,3,1,21.0,0,0,7.7333,-1,1
422,423,0,3,1,29.0,0,0,7.875,-1,2
423,424,0,3,0,28.0,1,1,14.4,-1,2
424,425,0,3,1,18.0,1,1,20.2125,-1,2
425,426,0,3,1,29.69911764705882,0,0,7.25,-1,2
426,427,1,2,0,28.0,1,0,26.0,-1,2
427,428,1,2,0,19.0,0,0,26.0,-1,2
428,429,0,3,1,29.69911764705882,0,0,7.75,-1,1
429,430,1,3,1,32.0,0,0,8.05,115,2
430,431,1,1,1,28.0,0,0,26.55,71,2
431,432,1,3,0,29.69911764705882,1,0,16.1,-1,2
432,433,1,2,0,42.0,1,0,26.0,-1,2
433,434,0,3,1,17.0,0,0,7.125,-1,2
434,435,0,1,1,50.0,1,0,55.9,128,2
435,436,1,1,0,14.0,1,2,120.0,47,2
436,437,0,3,0,21.0,2,2,34.375,-1,2
437,438,1,2,0,24.0,2,3,18.75,-1,2
438,439,0,1,1,64.0,1,4,263.0,63,2
439,440,0,2,1,31.0,0,0,10.5,-1,2
440,441,1,2,0,45.0,1,1,26.25,-1,2
441,442,0,3,1,20.0,0,0,9.5,-1,2
442,443,0,3,1,25.0,1,0,7.775,-1,2
443,444,1,2,0,28.0,0,0,13.0,-1,2
444,445,1,3,1,29.69911764705882,0,0,8.1125,-1,2
445,446,1,1,1,4.0,0,2,81.8583,10,2
446,447,1,2,0,13.0,0,1,19.5,-1,2
447,448,1,1,1,34.0,0,0,26.55,-1,2
448,449,1,3,0,5.0,2,1,19.2583,-1,0
449,450,1,1,1,52.0,0,0,30.5,50,2
450,451,0,2,1,36.0,1,2,27.75,-1,2
451,452,0,3,1,29.69911764705882,1,0,19.9667,-1,2
452,453,0,1,1,30.0,0,0,27.75,53,0
453,454,1,1,1,49.0,1,0,89.1042,86,0
454,455,0,3,1,29.69911764705882,0,0,8.05,-1,2
455,456,1,3,1,29.0,0,0,7.8958,-1,0
456,457,0,1,1,65.0,0,0,26.55,126,2
457,458,1,1,0,29.69911764705882,1,0,51.8625,97,2
458,459,1,2,0,50.0,0,0,10.5,-1,2
459,460,0,3,1,29.69911764705882,0,0,7.75,-1,1
460,461,1,1,1,48.0,0,0,26.55,117,2
461,462,0,3,1,34.0,0,0,8.05,-1,2
462,463,0,1,1,47.0,0,0,38.5,133,2
463,464,0,2,1,48.0,0,0,13.0,-1,2
464,465,0,3,1,29.69911764705882,0,0,8.05,-1,2
465,466,0,3,1,38.0,0,0,7.05,-1,2
466,467,0,2,1,29.69911764705882,0,0,0.0,-1,2
467,468,0,1,1,56.0,0,0,26.55,-1,2
468,469,0,3,1,29.69911764705882,0,0,7.725,-1,1
469,470,1,3,0,0.75,2,1,19.2583,-1,0
470,471,0,3,1,29.69911764705882,0,0,7.25,-1,2
471,472,0,3,1,38.0,0,0,8.6625,-1,2
472,473,1,2,0,33.0,1,2,27.75,-1,2
473,474,1,2,0,23.0,0,0,13.7917,90,0
474,475,0,3,0,22.0,0,0,9.8375,-1,2
475,476,0,1,1,29.69911764705882,0,0,52.0,1,2
476,477,0,2,1,34.0,1,0,21.0,-1,2
477,478,0,3,1,29.0,1,0,7.0458,-1,2
478,479,0,3,1,22.0,0,0,7.5208,-1,2
479,480,1,3,0,2.0,0,1,12.2875,-1,2
480,481,0,3,1,9.0,5,2,46.9,-1,2
481,482,0,2,1,29.69911764705882,0,0,0.0,-1,2
482,483,0,3,1,50.0,0,0,8.05,-1,2
483,484,1,3,0,63.0,0,0,9.5875,-1,2
484,485,1,1,1,25.0,1,0,91.0792,31,0
485,486,0,3,0,29.69911764705882,3,1,25.4667,-1,2
486,487,1,1,0,35.0,1,0,90.0,87,2
487,488,0,1,1,58.0,0,0,29.7,25,0
488,489,0,3,1,30.0,0,0,8.05,-1,2
489,490,1,3,1,9.0,1,1,15.9,-1,2
490,491,0,3,1,29.69911764705882,1,0,19.9667,-1,2
491,492,0,3,1,21.0,0,0,7.25,-1,2
492,493,0,1,1,55.0,0,0,30.5,64,2
493,494,0,1,1,71.0,0,0,49.5042,-1,0
494,495,0,3,1,21.0,0,0,8.05,-1,2
495,496,0,3,1,29.69911764705882,0,0,14.4583,-1,0
496,497,1,1,0,54.0,1,0,78.2667,96,0
497,498,0,3,1,29.69911764705882,0,0,15.1,-1,2
